Sl. No.,State_UT,2021,2022
1,Andhra Pradesh,21556,21249
2,Arunachal Pradesh,283,227
3,Assam,7411,7023
4,Bihar,9553,10801
5,Chhattisgarh,12375,13279
6,Goa,2849,3011
7,Gujarat,15186,15751
8,Haryana,9933,10429
9,Himachal Pradesh,2404,2597
10,Jharkhand,4728,5175
11,Karnataka,34647,39762
12,Kerala,33296,43910
13,Madhya Pradesh,48877,54432
14,Maharashtra,29477,33383
15,Manipur,366,508
16,Meghalaya,245,246
17,Mizoram,69,133
18,Nagaland,746,489
19,Odisha,10983,11663
20,Punjab,5871,6138
21,Rajasthan,20951,23614
22,Sikkim,155,211
23,Tamil Nadu,55682,64105
24,Telangana,21315,21619
25,Tripura,479,575
26,Uttarakhand,1405,1674
27,Uttar Pradesh,37729,41746
28,West Bengal,11937,13686
29,Andaman and Nicobar Islands,115,141
30,Chandigarh,208,237
31,Dadra and Nagar Haveli and Daman and Diu,140,196
32,Delhi,4720,5652
33,Jammu and Kashmir,5452,6092
34,Ladakh,236,374
35,Lakshadweep,4,3
36,Puducherry,1049,1181